text,font_size,font_name,is_bold,is_title_case,is_uppercase,x,y,page,line_len,is_heading,heading_level,
A substance's chemical formula is a symbolic representation of the,12.96000004,TimesNewRomanPSMT,0,0,0,178.3699951,129.1731262,2,66,0,,
number of atoms present in a single molecule of that material.,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,144.0531311,2,62,0,,
a. One water molecule has the formula,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,172.973114,2,37,0,,
2,7.168355942,TimesNewRomanPSMT,0,0,0,272.8703308,182.4068604,2,1,0,,
H O,12.27573109,TimesNewRomanPSMT,0,1,1,263.5801392,173.9577637,2,3,0,,
. It demonstrates that one molecule of water is,12.96000004,TimesNewRomanPSMT,0,0,0,285.7402039,172.973114,2,47,0,,
made up of two hydrogen atoms and one oxygen atom.,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,191.0931091,2,50,0,,
b. One molecule of sulphuric acid has the formula,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,220.0431213,2,49,0,,
2,7.175192833,TimesNewRomanPSMT,0,0,0,332.1678467,229.4569092,2,1,0,,
4,7.175192833,TimesNewRomanPSMT,0,0,0,351.5640259,229.4569397,2,1,0,,
H SO,12.28743935,TimesNewRomanPSMT,0,0,1,322.883606,221.0078125,2,4,0,,
. It illustrates that one molecule of,12.96000004,TimesNewRomanPSMT,0,0,0,351.4162598,220.0431213,2,37,0,,
"sulphuric acid has 2 hydrogen atoms, 1 sulphur atom, and 4 oxygen atoms.",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,238.2831116,2,72,0,,
Chemical Equations -,12.96000004,TimesNewRomanPS-BoldMT,1,1,0,57.38399887,296.3597717,2,20,1,H2,
The chemical equation of the reaction is the representation of a,12.96000004,TimesNewRomanPSMT,0,0,0,177.2899933,296.2431335,2,64,0,,
chemical change in terms of symbols and formulae of the reactants and products.,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,311.1231079,2,79,0,,
Example:,12.96000004,TimesNewRomanPS-BoldMT,1,1,0,57.38399887,340.1597595,2,8,1,H2,
4,7.090855122,TimesNewRomanPSMT,0,0,0,102.8232117,377.9346313,2,1,0,,
2,7.090855122,TimesNewRomanPSMT,0,0,0,318.3266296,377.9346313,2,1,0,,
2,7.090855122,TimesNewRomanPSMT,0,0,0,357.5718689,377.9346313,2,1,0,,
2,7.090855122,TimesNewRomanPSMT,0,0,0,406.5732117,377.9346313,2,1,0,,
KMnO      +        HCl,12.15202999,TimesNewRomanPSMT,0,0,0,59.40014267,369.5278931,2,22,0,,
KCl     +    MnCl     +  H O  +    Cl,12.15202999,TimesNewRomanPSMT,0,0,0,218.3101044,369.5279236,2,37,0,,
Potassium      Hydrochloric        Potassium    Manganese    Water    Chlorine,12.15202999,TimesNewRomanPSMT,0,1,0,62.42126846,387.8905334,2,78,0,,
permanganate            acid,12.15202999,TimesNewRomanPSMT,0,0,0,59.23228073,405.9441223,2,28,0,,
â†’,12.15202999,SymbolMT,0,0,0,203.6677856,370.1042175,2,1,0,,
chloride         chloride,12.15202999,TimesNewRomanPSMT,0,0,0,211.8464661,405.9441223,2,25,0,,
Steps for writing Chemical Equation,12.96000004,TimesNewRomanPS-BoldMT,1,0,0,57.38399887,465.099762,2,35,1,H2,
A. Step I: Writing Skeletal Equation,12.96000004,TimesNewRomanPS-BoldMT,1,1,0,57.38399887,494.0197449,2,36,1,H3,
A word-equation depicts the transformation of reactants into products by placing an arrow,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,522.9731445,2,89,0,,
between them (,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,537.8531494,2,14,0,,
â†’,11.99683666,SymbolMT,0,0,0,142.4352875,539.2883911,2,1,0,,
"). The arrow indicates the reaction's direction and might be read as ""to",12.96000004,TimesNewRomanPSMT,0,0,0,155.7799988,537.8531494,2,72,0,,
"yield,"" ""to form,"" or ""to give.""",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,552.9731445,2,32,0,,
"The reactants are on the left (LHS) of the arrow, while the products are on the right (RHS).",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,582.0131836,2,92,0,,
A plus sign (+) links the different reactants and products together.,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,596.8931274,2,68,0,,
"A balanced account of a chemical transaction is a complete chemical equation, which",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,625.8131714,2,83,0,,
"symbolically depicts the reactants, products, and their physical states.",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,640.6931152,2,72,0,,
Class X Science,12,TimesNewRomanPSMT,0,1,0,57.38399887,751.8840332,3,15,0,,
www.vedantu.com,12,TimesNewRomanPSMT,0,0,0,260.9299927,751.8840332,3,15,0,,
3,12,TimesNewRomanPSMT,0,0,0,537.2399902,751.8840332,3,1,0,,
B. Step II: Balancing of Chemical Equation,12.96000004,TimesNewRomanPS-BoldMT,1,0,0,57.38399887,129.1697693,3,42,1,H3,
A balanced chemical equation is one in which the number of atoms of each element is equal,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,158.0931091,3,89,0,,
on both sides of the equation.,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,172.973114,3,30,0,,
"On the reactant and product sides of the equation, a chemical equation is balanced if the",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,202.013092,3,89,0,,
number of atoms of each type involved in the reaction is the same.,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,216.9231262,3,66,0,,
Equations must be balanced at all times.,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,245.8431091,3,40,0,,
The amount of hydrogens on both sides should be an even number whenever,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,274.7631226,3,71,0,,
2,7.16825676,TimesNewRomanPSMT,0,0,0,471.1199951,284.1569214,3,1,0,,
H O,12.27556133,TimesNewRomanPSMT,0,1,1,461.8301086,275.7077942,3,3,0,,
is present,12.96000004,TimesNewRomanPSMT,0,0,0,483.989502,274.7631226,3,10,0,,
on one side (2 atoms of hydrogen in water). If there are 4,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,292.8831177,3,58,0,,
2,7.161418438,TimesNewRomanPSMT,0,0,0,365.6488342,302.3069153,3,1,0,,
H O,12.26385117,TimesNewRomanPSMT,0,1,1,356.3766174,293.8577881,3,3,0,,
"hydrogen atoms, then",12.96000004,TimesNewRomanPSMT,0,0,0,378.4938049,292.8831177,3,20,0,,
4 2,12.2968626,TimesNewRomanPSMT,0,0,0,59.22516632,312.1585999,3,3,0,,
8,12.2968626,TimesNewRomanPSMT,0,0,0,100.5052109,312.1586304,3,1,0,,
ï‚´,12.2968626,SymbolMT,0,0,0,70.25984955,312.7329407,3,1,0,,
=,12.2968626,SymbolMT,0,0,0,91.01050568,312.7329712,3,1,0,,
hydrogen atoms are present. If there are 7,12.96000004,TimesNewRomanPSMT,0,0,0,111.3799973,311.1231079,3,42,0,,
2,7.168355942,TimesNewRomanPSMT,0,0,0,342.3703308,320.5069275,3,1,0,,
H O,12.27573109,TimesNewRomanPSMT,0,1,1,333.0801392,312.0578003,3,3,0,,
"hydrogen atoms, then",12.96000004,TimesNewRomanPSMT,0,0,0,355.2402039,311.1231079,3,20,0,,
7 2,12.30677509,TimesNewRomanPSMT,0,0,0,477.7366333,312.1585999,3,3,0,,
14,12.30677509,TimesNewRomanPSMT,0,0,0,519.1837158,312.1586304,3,2,0,,
ï‚´,12.30677509,SymbolMT,0,0,0,488.9326782,312.7329407,3,1,0,,
=,12.30677509,SymbolMT,0,0,0,509.6769409,312.7329712,3,1,0,,
"hydrogen atoms, indicating that all the numbers are even.",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,329.2431335,3,57,0,,
There must be an even number in front of,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,358.1631165,3,40,0,,
HCl,12.1697979,TimesNewRomanPSMT,0,0,0,279.0845032,359.2077637,3,3,0,,
on the reactant side. (We'll figure out what,12.96000004,TimesNewRomanPSMT,0,0,0,301.269989,358.1631165,3,44,0,,
"that number is later.) As a result, there will be an even amount of chlorine atoms (i.e.,",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,373.3031311,3,89,0,,
KCl=1,12.25871468,TimesNewRomanPSMT,0,0,0,507.6809692,374.302002,3,5,0,,
",",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,388.4231262,3,1,0,,
2,7.191310406,TimesNewRomanPSMT,0,0,0,94.21869659,397.8068848,3,1,0,,
MnCl  = 2,12.31504059,TimesNewRomanPSMT,0,0,0,65.71807098,389.3577881,3,9,0,,
",",12.96000004,TimesNewRomanPSMT,0,0,0,119.9000015,388.4231262,3,1,0,,
Cl,12.35163498,TimesNewRomanPSMT,0,1,0,131.2811584,389.3564758,3,2,0,,
2,7.198947906,TimesNewRomanPSMT,0,0,0,142.9872742,397.8299866,3,1,0,,
2,12.35163498,TimesNewRomanPSMT,0,0,0,159.8074799,389.3564758,3,1,0,,
=,12.35163498,SymbolMT,0,0,0,150.4492188,389.9370117,3,1,0,,
". i.e.,",12.96000004,TimesNewRomanPSMT,0,0,0,157.3189392,388.4231262,3,7,0,,
1,12.2828846,TimesNewRomanPSMT,0,0,0,200.3603973,389.4585876,3,1,0,,
2,12.2828846,TimesNewRomanPSMT,0,0,0,220.2654266,389.4585876,3,1,0,,
2,12.2828846,TimesNewRomanPSMT,0,0,0,244.8370514,389.4585876,3,1,0,,
5,12.2828846,TimesNewRomanPSMT,0,0,0,270.7223511,389.4586182,3,1,0,,
+,12.2828846,SymbolMT,0,0,0,211.2505035,390.0329285,3,1,0,,
+,12.2828846,SymbolMT,0,0,0,235.8346405,390.0329285,3,1,0,,
=,12.2828846,SymbolMT,0,0,0,261.1819763,390.032959,3,1,0,,
"). However, the quantity of chlorine atoms in the",12.96000004,TimesNewRomanPSMT,0,0,0,281.8099976,388.4231262,3,49,0,,
product is unusual.,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,406.5431213,3,19,0,,
KCl,12.16948318,TimesNewRomanPSMT,0,0,0,161.1345062,407.5585938,3,3,0,,
has the only odd number of chlorine atoms. Let's alter it to the,12.96000004,TimesNewRomanPSMT,0,0,0,183.2899933,406.5431213,3,64,0,,
"simplest even number we can think of, which is 2.",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,421.7831116,3,49,0,,
4,7.216331959,TimesNewRomanPSMT,0,0,0,93.65602875,459.9568787,3,1,0,,
2,7.216331959,TimesNewRomanPSMT,0,0,0,216.0627594,459.9568787,3,1,0,,
2,7.216331959,TimesNewRomanPSMT,0,0,0,243.3180237,459.9568787,3,1,0,,
2,7.216331959,TimesNewRomanPSMT,0,0,0,280.3449707,459.9569092,3,1,0,,
KMnO + HCl,12.35789013,TimesNewRomanPSMT,0,0,0,59.23067474,451.507782,3,10,0,,
â†’,12.35789013,SymbolMT,0,0,0,134.3579865,452.0872192,3,1,0,,
2KCl + MnCl  + H O + Cl,12.35789013,TimesNewRomanPSMT,0,0,0,148.7881317,451.5078125,3,23,0,,
Since the number of K atoms in 2,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,482.6231079,3,32,0,,
KCl,12.26707077,TimesNewRomanPSMT,0,0,0,237.5663452,483.6585999,3,3,0,,
=,12.26707077,SymbolMT,0,0,0,260.2651978,484.2329712,3,1,0,,
2,12.26707077,TimesNewRomanPSMT,0,0,0,269.611969,483.6586304,3,1,0,,
", we have to put 2 in front of",12.96000004,TimesNewRomanPSMT,0,0,0,277.730011,482.6231079,3,30,0,,
4,7.187951088,TimesNewRomanPSMT,0,0,0,465.6090698,492.0300293,3,1,0,,
KMnO,12.33276749,TimesNewRomanPSMT,0,0,0,431.2164001,483.556488,3,4,0,,
for,12.96000004,TimesNewRomanPSMT,0,0,0,465.5331421,482.6231079,3,3,0,,
balancing K atom.,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,500.8631287,3,17,0,,
4,7.216620445,TimesNewRomanPSMT,0,0,0,109.2080078,539.0568237,3,1,0,,
2,7.216620445,TimesNewRomanPSMT,0,0,0,231.5585327,539.0568848,3,1,0,,
2,7.216620445,TimesNewRomanPSMT,0,0,0,258.8159485,539.0568848,3,1,0,,
2,7.216620445,TimesNewRomanPSMT,0,0,0,295.8239136,539.0568848,3,1,0,,
2KMnO + HCl,12.35838318,TimesNewRomanPSMT,0,0,0,68.79016876,530.6077881,3,11,0,,
2KCl + MnCl  + H O + Cl,12.35838318,TimesNewRomanPSMT,0,0,0,164.318222,530.6077881,3,23,0,,
ïœ,12.35838318,SymbolMT,0,0,0,57.33811951,531.1871948,3,1,0,,
â†’,12.35838318,SymbolMT,0,0,0,149.864563,531.1871948,3,1,0,,
In 2,12.96000004,TimesNewRomanPSMT,0,1,0,57.38399887,561.8531494,3,4,0,,
4,7.187951088,TimesNewRomanPSMT,0,0,0,114.2590637,571.2299805,3,1,0,,
KMnO,12.33276749,TimesNewRomanPSMT,0,0,0,79.86637878,562.7564697,3,4,0,,
", there are 2 K, 2 Mn, and 8 O. So, add these numbers in front of K, Mn and O,",12.96000004,TimesNewRomanPSMT,0,0,0,114.1831284,561.8531494,3,78,0,,
(K is already done).,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,579.9731445,3,20,0,,
4,7.218425274,TimesNewRomanPSMT,0,0,0,109.1620483,618.1068115,3,1,0,,
2,7.218425274,TimesNewRomanPSMT,0,0,0,237.419693,618.1068726,3,1,0,,
2,7.218425274,TimesNewRomanPSMT,0,0,0,270.6613464,618.1068726,3,1,0,,
2,7.218425274,TimesNewRomanPSMT,0,0,0,307.6364441,618.1068726,3,1,0,,
2KMnO + HCl,12.36147499,TimesNewRomanPSMT,0,0,0,68.77189636,609.6577759,3,11,0,,
2KCl + 2MnCl  + 8H O + Cl,12.36147499,TimesNewRomanPSMT,0,0,0,164.2221527,609.6577759,3,25,0,,
ïœ,12.36147499,SymbolMT,0,0,0,57.33808136,610.2371826,3,1,0,,
â†’,12.36147499,SymbolMT,0,0,0,149.7910156,610.2371826,3,1,0,,
If there are 8,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,640.9331665,3,14,0,,
2,7.16825676,TimesNewRomanPSMT,0,0,0,138.4700165,650.3068237,3,1,0,,
H O,12.27556133,TimesNewRomanPSMT,0,1,1,129.18013,641.8577881,3,3,0,,
"on the product side, there should be 16 H (8 x 2) on the reactants side as",12.96000004,TimesNewRomanPSMT,0,0,0,151.3395233,640.9331665,3,74,0,,
well.,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,659.0531616,3,5,0,,
4,7.220468521,TimesNewRomanPSMT,0,0,0,109.1434021,697.2068481,3,1,0,,
2,7.220468521,TimesNewRomanPSMT,0,0,0,249.3188477,697.2068481,3,1,0,,
2,7.220468521,TimesNewRomanPSMT,0,0,0,282.5279541,697.2068481,3,1,0,,
2,7.220468521,TimesNewRomanPSMT,0,0,0,319.47995,697.2068481,3,1,0,,
2KMnO + 16HCl,12.36497307,TimesNewRomanPSMT,0,0,0,68.77832794,688.7578125,3,13,0,,
2KCl + 2MnCl  + 8H O + Cl,12.36497307,TimesNewRomanPSMT,0,0,0,176.1216888,688.7578125,3,25,0,,
ïœ,12.36497307,SymbolMT,0,0,0,57.33804321,689.3372192,3,1,0,,
â†’,12.36497307,SymbolMT,0,0,0,161.7400818,689.3372192,3,1,0,,
Class X Science,12,TimesNewRomanPSMT,0,1,0,57.38399887,751.8840332,4,15,0,,
www.vedantu.com,12,TimesNewRomanPSMT,0,0,0,260.9299927,751.8840332,4,15,0,,
4,12,TimesNewRomanPSMT,0,0,0,537.2399902,751.8840332,4,1,0,,
"Now the only unbalanced one is Chlorine. On the left hand side, there are 16 Cl. On the right",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,129.1731262,4,93,0,,
"hand side, firstly, there are 2 Cl in 2 KCl + 4 Cl in 2",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,144.0531311,4,55,0,,
2,7.175192833,TimesNewRomanPSMT,0,0,0,358.6040039,153.5069122,4,1,0,,
MnCl,12.28743935,TimesNewRomanPSMT,0,0,0,330.1835938,145.0578003,4,4,0,,
", making total of 6(2 + 4). So, 10",12.96000004,TimesNewRomanPSMT,0,0,0,358.4432068,144.0531311,4,34,0,,
"more Cl atoms are to be accounted for. So, place 5 in front of",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,162.1731262,4,62,0,,
2,7.100655079,TimesNewRomanPSMT,0,0,0,392.9395142,171.6068878,4,1,0,,
Cl,12.15979385,TimesNewRomanPSMT,0,1,0,381.1568298,163.1577759,4,2,0,,
to make it 10 (5 x 2).,12.96000004,TimesNewRomanPSMT,0,0,0,392.6541138,162.1731262,4,22,0,,
4,7.215561867,TimesNewRomanPSMT,0,0,0,109.2167511,203.6568451,4,1,0,,
2,7.215561867,TimesNewRomanPSMT,0,0,0,249.5901642,203.6568756,4,1,0,,
2,7.215561867,TimesNewRomanPSMT,0,0,0,282.8494263,203.6568756,4,1,0,,
2,7.215561867,TimesNewRomanPSMT,0,0,0,325.8563232,203.6568909,4,1,0,,
2KMnO + 16HCl,12.35657024,TimesNewRomanPSMT,0,0,0,68.78682709,195.2077637,4,13,0,,
2KCl + 2MnCl  + 8H O + 5Cl,12.35657024,TimesNewRomanPSMT,0,0,0,176.3357544,195.2077789,4,26,0,,
ïœ,12.35657024,SymbolMT,0,0,0,57.33813858,195.7871857,4,1,0,,
â†’,12.35657024,SymbolMT,0,0,0,161.8876038,195.7872009,4,1,0,,
The Hit and Trial approach is a technique for balancing chemical equations.,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,226.2831116,4,75,0,,
Short Technique for Balancing a Chemical Equation,12.96000004,TimesNewRomanPS-BoldMT,1,0,0,57.38399887,284.3597717,4,49,0,1,H3
Let us take the same chemical reaction and try to balance it using a short technique which,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,313.2831116,4,90,0,,
"will save you time and effort in the exam. Let the number of molecules on each side be,",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,328.1631165,4,87,0,,
aKMnO,12.96000004,TimesNewRomanPS-BoldMT,1,0,0,57.38399887,357.1997681,4,5,0,,
4,8.520000458,TimesNewRomanPS-BoldMT,1,0,0,103.4599991,362.7951355,4,1,0,,
#NAME?,12.96000004,TimesNewRomanPS-BoldMT,1,0,0,107.7799988,359.1811829,4,21,0,,
2,8.520000458,TimesNewRomanPS-BoldMT,1,0,0,250.8500061,362.7951355,4,1,0,,
#NAME?,12.96000004,TimesNewRomanPS-BoldMT,1,0,0,255.1699982,357.1997681,4,4,0,,
2,8.520000458,TimesNewRomanPS-BoldMT,1,0,0,284.9500122,362.7951355,4,1,0,,
O + fCl,12.96000004,TimesNewRomanPS-BoldMT,1,0,0,289.269989,357.1997681,4,7,0,,
2,8.520000458,TimesNewRomanPS-BoldMT,1,0,0,330.5499878,362.7951355,4,1,0,,
"Now comparing LHS and RHS,",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,386.0231323,4,26,0,,
K: a = c,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,414.9431152,4,8,0,,
Mn: a = d,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,443.9831238,4,9,0,,
O: 4a = e,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,472.9031067,4,9,0,,
H: b = 2e,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,501.8230896,4,9,0,,
Cl: b = c + 2d + 2f,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,530.7731323,4,19,0,,
"Let us take a = 2, then",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,559.8131714,4,23,0,,
c = d = a = 2,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,588.7331543,4,13,0,,
b = 2e = 8a = 16,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,617.6531372,4,16,0,,
"So, e = 8",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,646.5731201,4,9,0,,
"So, 16 = 2 + 2(2) + 2(f)",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,675.6331787,4,24,0,,
Class X Science,12,TimesNewRomanPSMT,0,1,0,57.38399887,751.8840332,5,15,0,,
www.vedantu.com,12,TimesNewRomanPSMT,0,0,0,260.9299927,751.8840332,5,15,0,,
5,12,TimesNewRomanPSMT,0,0,0,537.2399902,751.8840332,5,1,0,,
f = 5,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,129.0531311,5,5,0,,
"Thus, the required equation is: 2KMnO",12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,157.973114,5,37,0,,
4,8.520000458,TimesNewRomanPSMT,0,0,0,262.3699951,163.6084595,5,1,0,,
+ 16HCl â†’ 2KCl + 2MnCl,12.96000004,TimesNewRomanPSMT,0,0,0,266.6900024,160.071167,5,22,0,,
2,8.520000458,TimesNewRomanPSMT,0,0,0,410.2600098,163.6084595,5,1,0,,
+ 8H,12.96000004,TimesNewRomanPSMT,0,1,1,414.5799866,157.973114,5,4,0,,
2,8.520000458,TimesNewRomanPSMT,0,0,0,444.2200012,163.6084595,5,1,0,,
O + 5Cl,12.96000004,TimesNewRomanPSMT,0,1,0,448.5400085,157.973114,5,7,0,,
2,8.520000458,TimesNewRomanPSMT,0,0,0,490.4200134,163.6084595,5,1,0,,
.,12.96000004,TimesNewRomanPSMT,0,0,0,494.7399902,157.973114,5,1,0,,
From a chemical equation we can conclude:,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,187.013092,5,41,0,,
A.,12.96000004,TimesNewRomanPSMT,0,1,1,57.38399887,215.9631042,5,2,0,,
Various reactants and products names,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,215.9631042,5,36,0,,
B.,12.96000004,TimesNewRomanPSMT,0,1,1,57.38399887,244.8831482,5,2,0,,
Reactant and product formulae,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,244.8831482,5,29,0,,
C.,12.96000004,TimesNewRomanPSMT,0,1,1,57.38399887,273.8031311,5,2,0,,
The number of moles of the reactants and products in relation to each other,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,273.8031311,5,75,0,,
D.,12.96000004,TimesNewRomanPSMT,0,1,1,57.38399887,302.8431091,5,2,0,,
Masses of reactants and products relative to each other,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,302.8431091,5,55,0,,
E.,12.96000004,TimesNewRomanPSMT,0,1,1,57.38399887,331.7631226,5,2,0,,
Volumes of gaseous reactants and products in relation to each other,12.96000004,TimesNewRomanPSMT,0,0,0,93.38400269,331.7631226,5,67,0,,
In short â€“ the Steps Involved in Balancing a Chemical Equation can be Listed As:,12.96000004,TimesNewRomanPS-BoldMT,1,0,0,57.38399887,389.7397461,5,80,0,1,H3
Step 1:,12.96000004,TimesNewRomanPS-BoldMT,1,1,0,57.38399887,418.7797546,5,7,0,,
Write the skeleton equation correctly.,12.96000004,TimesNewRomanPSMT,0,0,0,99.14399719,418.6631165,5,38,0,,
Step 2:,12.96000004,TimesNewRomanPS-BoldMT,1,1,0,57.38399887,447.6997681,5,7,0,,
Start with the compound that has the maximum atoms or maximum types of atoms,12.96000004,TimesNewRomanPSMT,0,0,0,99.14399719,447.5831299,5,76,0,,
and the atoms present in it are balanced first.,12.96000004,TimesNewRomanPSMT,0,0,0,57.38399887,462.4631042,5,47,0,,
Step 3:,12.96000004,TimesNewRomanPS-BoldMT,1,1,0,57.38399887,491.619751,5,7,0,,
